LineNumber,Section,Sentence_excerpt,Recommended_Citation_Keys,Justification
457,Introduction,"For nearly a century, gravitational anomalies at galactic and cosmological scales have been parameterized by an additional non-luminous sector.",Zwicky1933Coma LeVerrier1859Mercury Einstein1915Mercury,Establishes historical precedent for dark matter concept and gravitational anomalies from Vulcan through modern era
468,Introduction,"Yet the microphysical identity of that dominant non-baryonic component remains empirically unresolved. Many canonical weak-scale interaction scenarios have been constrained by direct detection, indirect searches, and collider experiments.",Akerib2017LUX Aprile2018XENON1T Aguilar2013AMS Cui2017PandaX,Comprehensive direct detection null results from major experiments (LUX XENON1T AMS PandaX) strengthen the motivation for alternative approaches
473,Introduction,"This paper develops an inverse-GR alternative consistent with the Discussion framing in §9: we retain standard GR on the left-hand side and ask what effective stress--energy must appear on the right-hand side",Einstein1916GR Wald1984GR HawkingEllis1973,Foundation of Einstein field equations and standard GR formalism that the paper builds upon
490,Introduction The organizing equation is G_μν = 8πG(T_μν^bar + T_μν^resp); this definition is ontologically agnostic,Carroll2004Spacetime Carroll2019Spacetime,Essential references for metric formalism and Newtonian/Weyl gauge potentials used throughout framework
510,Introduction,"The inverse mapping alone is underdetermined: many effective sources could reproduce a given Δ(R). The scientific content of this work is therefore compression.",PoissonWill2014,Poisson and Will provide rigorous background on gravitational solutions and effective descriptions in relativity
550,"Weak-Field Potentials","In the Newtonian gauge for weak gravitational fields, the line element takes the form: ds² = -(1+2Φ)dt² + (1-2Ψ)dx², to leading order for nonrelativistic motion",Carroll2004Spacetime Wald1984GR,Standard weak-field approximation framework essential for understanding metric decomposition strategy
560,"Weak-Field Potentials","Gravitational lensing depends on the Weyl combination Φ_lens ∝ (Φ + Ψ)/2. Thus, rotation curves primarily constrain Φ, while lensing constrains the combination (Φ + Ψ).",PoissonWill2014,Details the connection between Weyl potential and observational probes (dynamics vs lensing)
595,"Density Profile","For a flat outer rotation curve (v → v∞), one obtains M_eff ∝ r and ρ_extra ∝ 1/r², yielding the classic isothermal halo profile.",RubinFord1970M31 Bosma1978Thesis,Historical observations of flat rotation curves in Andromeda and other galaxies that motivated original dark matter hypothesis
630,"Auxiliary Field Theory","We introduce an auxiliary scalar field χ coupled to baryons through a covariant action S = ∫d⁴x√(-g)[R/16πG + L_bar + L_χ + L_int]",Burgess2004EFTGR Donoghue1994EFTGR,Establishes effective field theory foundation for scalar-field approach to response sector dynamics
650,"Mathematical Methods","The weak-field static equation for χ reduces, outside the activation region, to an approximate flux-conservation law ∇·J = 0 with radial J ∝ r̂/R",BenderOrszag1999 KevorkianCole1996,Advanced mathematical techniques for solving singular perturbation and boundary-layer problems in applied physics
670,"Boundary Layer","For spherically symmetric intuition (useful even for disk galaxies), the transition radius R_t is defined where g_bar(R_t) ≈ a₀",McGaugh2000BTFR,Establishes connection to empirical acceleration scale and Tully-Fisher relation
682,"Results Overview","Applied to 175 galaxies from the SPARC database, the one-parameter closure yields very strong improvement over baryons-only for 92% of systems and passes BIC overfitting rejection in 97%.",McGaughSchombert2014ML,Mass-to-light ratio methodology and systematic uncertainty quantification for photometric mass models
695,"Tully-Fisher","The baryonic Tully--Fisher relation is recovered as an empirical consequence (Spearman r_s = 0.95).",McGaugh2000BTFR RubinFord1970M31,Fundamental galaxy scaling relation that SPARC and response sector must reproduce as consistency test
720,"Oscillatory Signatures","Two galaxies (NGC 4389, UGC 02455) exhibit negative Q_est values—cases where the observed velocity falls below the baryonic prediction in the outer regions.",Tuan2014Nodal Rossing1982Chladni,Nodal analysis and Chladni plate physics provide mathematical framework for understanding sign-alternating oscillatory patterns
735,"Oscillatory Physics","More broadly, 46 galaxies (26% of the sample) show at least one sign change in their velocity deficit profiles. The characteristic oscillation wavelength scales with galaxy size",Tuan2014Nodal Rossing1982Chladni BenderOrszag1999,Spectral and perturbation methods illuminate standing-wave interpretation of rarefaction zones in response operator eigenmodes
760,"Conservation","By the Bianchi identity, ∇_μ(T^bar,μν + T^resp,μν) = 0. If baryons are minimally coupled... ∇_μT^resp,μν = 0 must hold independently.",HawkingEllis1973 Wald1984GR,Fundamental constraint from differential geometry and gauge consistency in GR stress-energy conservation
778,"Falsification","The framework stands or falls on these empirical discriminants: low-DOF compression failure, out-of-sample prediction failure, gravitational slip/lensing inconsistency, cosmological growth incompatibility.",PoissonWill2014 Carroll2019Spacetime,Systematic falsification architecture grounded in gravitational physics consistency and relativistic framework
850,"Lensing Discussion","Galaxy–galaxy lensing and cluster lensing constrain the Weyl potential Φ_lens = (Φ + Ψ)/2. In standard GR with a perfect-fluid source (including CDM), the gravitational slip η ≡ Ψ/Φ ≈ 1",PoissonWill2014 Wald1984GR,Rigorous formulation of gravitational slip metric from canonical GR texts applied to lensing observables
875,"Cosmological Viability","For the response sector to serve as a CDM replacement on cosmological scales, its effective energy density must evolve approximately as ρ_resp(a) ∝ a⁻³ (dust-like) over the redshift range",Buchert2000Averaging Rasanen2006Backreaction Riess2019LMC,Cosmological background evolution and averaging in inhomogeneous cosmology; distance measurements for redshift calibration
895,"Cosmological Perturbations","At the perturbation level, the response sector must cluster appropriately to produce the observed matter power spectrum and CMB angular power spectrum.",Riess2019LMC Ivezic2019LSST,Large-scale structure observations that future surveys will use to test cosmological predictions
920,"MOND Comparison","Modified Newtonian Dynamics (MOND; Milgrom, 1983) shares the empirical acceleration scale a₀ and produces flat rotation curves through a modified force law. The response-sector framework differs in several respects",PoissonWill2014 Wald1984GR Carroll2019Spacetime,GR formalism ensures response-sector avoids MOND's conceptual tensions with relativistic completion
945,"Nonlocal Gravity","Nonlocal gravity models (Deser & Woodard, 2007) can be rewritten as effective sources on the right-hand side of the Einstein equation, placing them within our bookkeeping framework.",DeserWoodard2007Nonlocal Rasanen2006Backreaction,Nonlocal and backreaction gravity theories fit naturally into response-sector effective-source interpretation
960,"Dwarf Galaxies Discussion","Gas-dominated dwarf irregular galaxies represent stringent tests where the response sector must provide nearly all of the observed acceleration from a weak baryonic source.",Ackermann2015Dwarfs,Dwarf galaxy dark matter searches provide complementary observational constraints to rotation curves
975,"NEC Constraints","The minimal non-negotiable stability line is to keep the underlying response-field EFT free of ghosts/gradient instabilities; for broad k-essence classes this is ensured by requiring a positive kinetic coefficient",BuniyHsuMurray2006NEC Rubakov2006NEC Rubakov2014NECReview,Null energy condition constraints from effective field theory stability arguments ensure no pathological propagating modes
1000,"Appendix D Cymatics","This appendix formalizes the 'cymatics' analogy used throughout the paper by identifying a single spectral object---the eigen-spectrum of an intrinsic response operator",Rossing1982Chladni Tuan2014Nodal,Chladni plate experiments and nodal pattern mathematics provide physical intuition for spectral response eigenmodes
1050,"Appendix D Mathematical","Let L Φ_resp = S[ρ_bar] denote the intrinsic response through a driven, self-adjoint elliptic operator in minimal Sturm–Liouville form L ≡ -∇·(α(x)∇) + β(x)",BenderOrszag1999 KevorkianCole1996,Advanced singular perturbation and boundary-layer mathematics essential for elliptic operator eigenspectrum analysis
1075,"Appendix D Spacetime","Spacetime unification means that the fundamental response dynamics can be written covariantly (e.g., for a scalar template, a hyperbolic operator D such as (□ – m²_eff)χ = J)",HawkingEllis1973 Wald1984GR Carroll2019Spacetime,Covariant formulation of spacetime dynamics grounded in standard GR framework for consistent relativistic treatment
